code,dept_url,desc,name,url
ECON40C15,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"No such Code for pgprog: N3KB09 Department: Economics and Finance ECON40C15: Climate Finance  Type  Tied  Level  4  Credits  15  Availability  Available in 2021/22    Tied to  N3KB09       Tied to  N3K509 Finance (International Money, Finance and Investment)      Tied to  N3K609 Finance (International Banking and Finance)      Tied to  N3K409 Finance (Finance and Investment)      Tied to  N3K709 Finance (Economics and Finance)      Tied to  N3K309 Finance (Corporate and International Finance)      Tied to  N3K209 Finance (Accounting and Finance)      Tied to  N3K109 Finance     Prerequisites  <If other modules, please enter module code using 'Right Click, Insert module_code' or enter module title>  Corequisites  <If other modules, please enter module code using 'Right Click, Insert module_code' or enter module title>  Excluded Combination of Modules  <If other modules, please enter module code using 'Right Click, Insert module_code' or enter module title>  Aims  To review the core areas around financing both the reduction in greenhouse gas emissions and climate resilient infrastructure at the global level.  Content  Climate Change/climate crisis poses an existential risk to human civilisation and the natural environment. Whilst there are a number of good courses on environmental economics there is a natural gap in the delivery of a course relating directly to the public and private investment required in the face of climate change.  The course will address this gap and provide a broad spectrum of coverage on the public and private policy in relation to climate finance.    This module will cover a range of topics including/such as;  Investment at scale and global resilience    The landscape of climate finance and the relationship to climate resilience    Valuation of long run risks and the impact of subjective discount rates    The public sector investment problem, how to understand return on climate change investment    Green bonds and investment in infrastructure protection     Private sector investment and insurance     Applications: from theory to practice    Pricing the priceless: environmental valuations and investment    Market mechanisms to address environmental externalities    Global carbon markets, cap and trade (EU emissions trading, carbon offsets/sequestration)    Financing Global Forests (debt for nature swaps)    Adaptation financing (blockchain verification)    Climate and disaster resilience financing    Composite indicators (ecological footprints) to guide investment    The course is on a contemporary set of issues, so the topics above are indicative and subject to change as the various political and economic mechanisms evolve with the ongoing debate on how to pay for climate change mitigation and resilience.    Learning Outcomes Subject-specific Knowledge:  Subject-specific Skills:   By the end of the module students should be able to:   Price long term climate risk into standard financial instruments.  Develop and price new financing products linked to green initiatives and low carbon investments.  Understand cap and trade markets  Determine the term structure of climate risk   Understand investment in resilience.  Understand the impact on actuarial models of insurance against climate-based hazards.  Be able to understand and price climate change derivatives.    Key Skills:   Financial modelling.  Risk Modelling.  Asset Pricing.   Economics models of discounting and the impact on cost-benefit analysis.  Group work and presentation skills will be developed.  Subject specific skills.  Some work on assest price dynamics and pricing of green contracts.  Using climate models and simulations as inputs into pricing models.   Micro-scale green finance and the economics of risk adaptation.    Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  Blended teaching model, with some in person lectures, video based discussion and presentations  Synchronous class blended in person and virtual classrooms with small group teaching.  Flipped classroom using the prepared materials to deliver summaries of models and instruments needed in climate finance.    Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  10  Weekly  2 hours  20     Seminars  4  Fortnightly  1 hour  4     Preparation & Reading     126     Total     150    Summative Assessment   Component: Individual Written Assignment  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Individual written assignment  To be submitted after 8 weeks  100%  Normal resit opportunity   Formative Assessment:  1. Group presentation in flipped classroom is assessed with oral feedback during the class. 2. A practice essay on a similar topic to the bespoke essay undertaken as part of a group submission with written feedback.  ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON40C15
ECON40B15,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"No such Code for pgprog: N3KB09 Department: Economics and Finance ECON40B15: Financial Technologies I  Type  Tied  Level  4  Credits  15  Availability  Available in 2021/22    Tied to  N2P209 Management (Finance)      Tied to  N3KB09       Tied to  N3K509 Finance (International Money, Finance and Investment)      Tied to  N3K609 Finance (International Banking and Finance)      Tied to  N3K409 Finance (Finance and Investment)      Tied to  N3K709 Finance (Economics and Finance)      Tied to  N3K309 Finance (Corporate and International Finance)      Tied to  N3K209 Finance (Accounting and Finance)      Tied to  N3K109 Finance     Prerequisites  <If other modules, please enter module code using 'Right Click, Insert module_code' or enter module title>  Corequisites  <If other modules, please enter module code using 'Right Click, Insert module_code' or enter module title>  Excluded Combination of Modules  <If other modules, please enter module code using 'Right Click, Insert module_code' or enter module title>  Aims  Financial Technologies (FinTech) encompass the set of software, hardware, and innovative algorithmic technologies typically employed by and across the financial innovation landscape.  This is designed to be a primer on FinTech and serves as a platform for further skills and development in this area.   The aim of this course is to provide a comprehensive introduction to FinTech, including Decentralized Finance, ECNs and broader financial infrastructure.        The Course will review the issues surrounding fairness of access to services and intermediation and the concept of financial inclusion.        Students will finish the course with both a technical, social and economic understanding of Financial Technologies with a comprehensive knowledge.    This course will provide a summary and guidance on the types of technologies typically deployed and is pitched at those in a management or deployment role rather than a developer or software engineer. The course leverages the extensive knowledge base of the proposed teaching team in the areas of FinTech, technology mediated financial transactions and automation and algorithm deployment in the financial industry.    Content  The landscape of modern finance, Electronic Communication Networks, and algorithmic financial decision making.  Multiparty Computation and Distributed Systems    - Distributed Ledger Technology (DLT), Blockchain, and Smart Contracts  - Cryptocurrency and Central Bank Digital Currency (CBDC)  - Initial Coin Offerings  AI and Finance  -Structured Data, Machine Learning,  KBD systems, AI.   -Forward-Time Tech Analysis, High-frequency and Algorithmic Trading  Cybersecurity   -identity and fraud detection,  -anti-money laundering,  -Know Your Customers.  Regulation of Fintech and RegTech.    Learning Outcomes Subject-specific Knowledge:  Subject-specific Skills:   By the end of the module students should be able to:  Identify the core components of the new financial technologies.  Be able to sketch the design framework for new types of financial instruments.  Understand the role of Artificial Intelligence and Machine Learning in financial services.  Understand the underlying technical solutions needed to assess the risk of new financial products.    Key Skills:   Financial modelling  Introductory programming skills  System architectures  Applied modelling techniques  Introductory cryptographic methods for finance    Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  Blended teaching model, with some in person lectures, video based discussion presentations.  Synchronous class blended in person and virtual classrooms with small group teaching.  Flipped class room using the prepared materials to deliver summaries of models and instruments needed in climate finance.    Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  10  Weekly  2 hours  20     Seminars  4  Fortnightly  1  4     Preparation and Reading     126     Total     150    Summative Assessment   Component: Individual Assignment  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Bespoke Coursework  2500 words  100%  single resit   Formative Assessment:  Practice essay undertaken in groups that evaluates a specific financial product. Oral feedback in a flipped classroom environment.   ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON40B15
ECON40A15,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"Department: Economics and Finance ECON40A15: Bank Management  Type  Tied  Level  4  Credits  15  Availability  Available in 2021/22    Tied to  N3K409 Finance (Finance and Investment)      Tied to  N3K309 Finance (Corporate and International Finance)      Tied to  N3K109 Finance      Tied to  N3K709 Finance (Economics and Finance)      Tied to  N3K509 Finance (International Money, Finance and Investment)      Tied to  N3K209 Finance (Accounting and Finance)      Tied to  N3K609 Finance (International Banking and Finance)     Prerequisites  <If other modules, please enter module code using 'Right Click, Insert module_code' or enter module title>  Corequisites  <If other modules, please enter module code using 'Right Click, Insert module_code' or enter module title>  Excluded Combination of Modules  <If other modules, please enter module code using 'Right Click, Insert module_code' or enter module title>  Aims  Develop knowledge of key concepts and issues in banking related to the management of lending processes, bank funding structure, liquidity & risk management, and performance measurement.  Develop critical understanding and appreciation of current theoretical and empirical research in banking and its applications to professional practice in financial services.    Content  Bank business models and financial statements  Interest Rate Risk Management  Lending and loan portfolio management  Bank funding structures  Liquidity risk management  Capital adequacy  Trends and challenges in the banking industry    Learning Outcomes Subject-specific Knowledge:   By the end of the module students should have:  Developed an advanced knowledge of core banking principles and practice of traditional and contemporary bank business models.  Developed a critical understanding of the issues and risks of items from bank financial statements.  Explored the most recent advancements in the relevant academic literature and its relevance for the banking industry.    Subject-specific Skills:   By the end of the module, students should have developed highly specialised and advanced technical, professional and academic skills that enable them to:  Explain and critically evaluate the purpose of banks and their business models.  Identify, measure and manage the various risks that banks face.   Critically evaluate the impact of trends and challenges in the banking industry on a bank’s business model.     Key Skills:   Written communication  Planning, organising and time management  Problem solving and analysis  Using initiative  Adaptability  Numeracy  Computer literacy    Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  Teaching is by lectures and seminars. Learning takes place through attendance at lectures, preparation for and participation in seminar classes and private study.  Summative assessment is by means of a written examination.    Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  10  1 per week  2 hours  20             Seminars  4  1 per fortnight  1 hour  4     Preparation and Reading     126     Total     150    Summative Assessment   Component: Examination  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Examination  2 hours  100%  same   Formative Assessment:  Formative assessment, and feedback, may take a number of forms such as oral feedback on work prepared by students for seminars; answers to questions either discussed during a seminar or posted on DUO. ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON40A15
ECON409JN,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"Department: Economics and Finance ECON409JN: INTERNATIONAL FINANCE  Type  Tied  Level  4  Credits  15  Availability  Not available in 2021/22   Tied to  N3K109J Finance (commencing in January) (suspended for 21/22)    Prerequisites  None  Corequisites  EITHER Advanced Financial Theory (ECON412JN) OR Advanced Macroeconomics (ECON448JN)  Excluded Combination of Modules  None  Aims  develop students' advanced knowledge and critical understanding of international finance;  develop students' ability to critically understand frontier theoretical and empirical issues in international finance;  offer students the opportunity to develop key analytical and technical skills in dealing with problems in international finance in a global economic environment.  Content  Economics of exchange rates;  Purchasing power parity;  Models of exchange rates;  Foreign exchange market efficiency.  Learning Outcomes Subject-specific Knowledge:   have explored, understood and appreciated the complexity and diversity of the current academic literature and its implications for professional practice, and be able to identify open questions for their own research.  Subject-specific Skills:   be able to use highly specialised and advanced technical, professional and academic skills in analysing exchange rates, and more generally asset pricing in a global economy;  be able to master problem solving and analytical skills in a challenging global environment, and other complex specialised contexts.  Key Skills:   Written Communication;  Planning, Organising and Time Management;  Problem Solving and analysis;  Using Initiative;  Numeracy;  Computer Literacy.  Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  A combination of lectures, seminars and guided reading will contribute to achieving the aims and learning outcomes of this module.  The summative written examination will test students' knowledge and critical understanding of the material covered in the module, their analytical and problem-solving skills.  Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  9  1 per week  2 hours  18     Seminars/Workshops  4  fortnightly  1 hour  4  ■    Preparation & Reading     126     Revision  2   1 hour  2     Total     150    Summative Assessment   Component: Examination  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Unseen written examination  2 hours  100%  Same   Formative Assessment:  Students will receive written comments on a formative written assignment.  Additional formative assessment, and feedback, may take a number of forms such as: oral feedback on work prepared by students for seminars; answers to questions either discussed during a seminar or posted on DUO. ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON409JN
ECON40915,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"No such Code for pgprog: L1K309 No such Code for pgprog: L1K709 No such Code for pgprog: L1K609 No such Code for pgprog: L1K509 No such Code for pgprog: L1K109 No such Code for pgprog: N3K809 Department: Economics and Finance ECON40915: INTERNATIONAL FINANCE  Type  Tied  Level  4  Credits  15  Availability  Available in 2021/22    Tied to  L1K309       Tied to  L1K709       Tied to  L1K609       Tied to  L1K509       Tied to  L1K109       Tied to  L1T109 Economics      Tied to  L1T209 Public Economics      Tied to  L1T309 Experimental Economics      Tied to  L1T409 Environmental & Natural Resource Economics      Tied to  N3K109 Finance      Tied to  N3K309 Finance (Corporate and International Finance)      Tied to  N3K509 Finance (International Money, Finance and Investment)      Tied to  N3K609 Finance (International Banking and Finance)      Tied to  N3K709 Finance (Economics and Finance)      Tied to  N3K809       Tied to  L2T109 Global Politics     Prerequisites  None  Corequisites  EITHER Advanced Financial Theory (ECON41215) OR Advanced Macroeconomics (ECON44815 or ECON41715)  Excluded Combination of Modules  None  Aims  develop students' advanced knowledge and critical understanding of international finance;  develop students' ability to critically understand frontier theoretical and empirical issues in international finance;  offer students the opportunity to develop key analytical and technical skills in dealing with problems in international finance in a global economic environment.  Content  Economics of exchange rates;  Purchasing power parity;  Models of exchange rates;  Foreign exchange market efficiency.  Learning Outcomes Subject-specific Knowledge:   have explored, understood and appreciated the complexity and diversity of the current academic literature and its implications for professional practice, and be able to identify open questions for their own research.  Subject-specific Skills:   be able to use highly specialised and advanced technical, professional and academic skills in analysing exchange rates, and more generally asset pricing in a global economy;  be able to master problem solving and analytical skills in a challenging global environment, and other complex specialised contexts.  Key Skills:   Written Communication;  Planning, Organising and Time Management;  Problem Solving and analysis;  Using Initiative;  Numeracy;  Computer Literacy.  Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  A combination of lectures, seminars and guided reading will contribute to achieving the aims and learning outcomes of this module.  The summative written examination will test students' knowledge and critical understanding of the material covered in the module, their analytical and problem-solving skills.  Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  9  1 per week  2 hours  18     Seminars/Workshops  4  fortnightly  1 hour  4  ■    Preparation & Reading     126     Revision  2   1 hour  2     Total     150    Summative Assessment   Component: Examination  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Unseen written examination  2 hours  100%  Same   Formative Assessment:  Students will receive written comments on a formative written assignment.  Additional formative assessment, and feedback, may take a number of forms such as: oral feedback on work prepared by students for seminars; answers to questions either discussed during a seminar or posted on DUO. ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON40915
ECON40815,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"Department: Economics and Finance ECON40815: INTERNATIONAL ECONOMICS  Type  Tied  Level  4  Credits  15  Availability  Available in 2021/22    Tied to  L1T109 Economics      Tied to  L1T209 Public Economics      Tied to  L1T309 Experimental Economics      Tied to  L1T409 Environmental & Natural Resource Economics      Tied to  N3K709 Finance (Economics and Finance)      Tied to  L2T109 Global Politics     Prerequisites  None  Corequisites  None  Excluded Combination of Modules  None  Aims  to develop knowledge and analytical skills in international economics at an advanced level.  Content  Models of exchange rate determination    Currency Crises    Intertemporal approach to the current ccount    Globalisation    Ricardian Trade Theory;    Hecksher-Ohlin Trade Theory;    New Trade Theory;    International Labour Migration    Learning Outcomes Subject-specific Knowledge:   have explored, understood and appreciated the complexity and diversity of the current academic literature and its implications for professional practice, and be able to identify open questions for their own research;  have demonstrated ability to learn and work independently in addressing challenging complex issues in international economics.  Subject-specific Skills:   have used highly specialised and advanced academic, technical and professional skills in analysing issues in international economics.  Key Skills:   Written Communication;  Planning, Organising and Time Management;  Problem Solving and Analysis;  Using initiative;  Numeracy;  Computer Literacy.  Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  A combination of lectures, seminars and guided reading will contribute to achieving the aims and learning outcomes of this module.  Summative assessment by written examination will test students' knowledge and understanding of the subject-matter, their critical judgement and problem-solving and critical skills.  Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  10  Weekly  2 hours  20     Seminars  8  fortnightly  1 hour  8  ■    Preparation & Reading     122     Total     150    Summative Assessment   Component: Examination  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Unseen written examination  2 hours  100%  Same   Formative Assessment:  Via group presentation during seminars. Work prepared by students for seminars; answers to questions either discussed during a seminar, or posted on DUO. ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON40815
ECON407JN,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"Department: Economics and Finance ECON407JN: INTERNATIONAL FINANCIAL ASSET PRICING  Type  Tied  Level  4  Credits  15  Availability  Not available in 2021/22   Tied to  N3K109J Finance (commencing in January) (suspended for 21/22)    Prerequisites  None  Corequisites  Advanced Financial Theory (ECON412JN)  Excluded Combination of Modules  None  Aims  The module aims to:  develop students' advanced knowledge and critical understanding of key theoretical and empirical issues in international financial asset management including international diversification, and asset pricing;  develop students' ability to critically review this specialised complex area of knowledge with a view to undertaking future research in this area.  Content  Portfolio allocations under certainty and uncertainty;  International portfolio diversification issues;  Asset pricing;  Puzzles in international finance - e.g. home bias puzzle, exchange rates puzzle, equity premium puzzle.  Learning Outcomes Subject-specific Knowledge:   have explored, understood and appreciated the complexity and diversity of the current academic literature and its implications for professional practice, and be able to identify open questions for their own research;  have demonstrated ability to learn and work independently in addressing challenging complex issues in international financial asset management.  Subject-specific Skills:   have used highly specialised and advanced technical, professional and academic skills in analysing international financial asset management.  Key Skills:   Written Communication;  Planning, Organising and Time Management;  Problem Solving and Analysis;  Using initiative;  Numeracy;  Computer Literacy.  Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  A combination of lectures, seminars and guided reading will contribute to achieving the aims and learning outcomes of this module.  Summative assessment by unseen examination will test students' knowledge and understanding of the subject matter and their ability to apply what they have learned in the analysis of specific issues.  Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  9  1 per week  2 hours  18     Seminars  4  fortnightly  1 hour  4  ■    Preparation & Reading     126     Other: (Revision)  2   1 hour  2     Total     150    Summative Assessment   Component: Examination  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Unseen written examination  2 hours  100%  Same   Formative Assessment:  Students will receive written comments on a formative written assignment.  Additional formative assessment, and feedback, may take a number of forms such as: oral feedback on work prepared by students for seminars; answers to questions either discussed during a seminar or posted on DUO. ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON407JN
ECON40715,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"No such Code for pgprog: L1K709 No such Code for pgprog: L1K609 No such Code for pgprog: L1K109 No such Code for pgprog: N3K809 Department: Economics and Finance ECON40715: INTERNATIONAL FINANCIAL ASSET PRICING  Type  Tied  Level  4  Credits  15  Availability  Available in 2021/22    Tied to  L1K709       Tied to  L1K609       Tied to  L1K109       Tied to  N3K109 Finance      Tied to  N3K509 Finance (International Money, Finance and Investment)      Tied to  N3K709 Finance (Economics and Finance)      Tied to  N3K809      Prerequisites  None  Corequisites  Advanced Financial Theory (ECON41215)  Excluded Combination of Modules  None  Aims  The module aims to:  develop students' advanced knowledge and critical understanding of key theoretical and empirical issues in international financial asset management including international diversification, and asset pricing;  develop students' ability to critically review this specialised complex area of knowledge with a view to undertaking future research in this area.  Content  Portfolio allocations under certainty and uncertainty;  International portfolio diversification issues;  Asset pricing;  Puzzles in international finance - e.g. home bias puzzle, exchange rates puzzle, equity premium puzzle.  Learning Outcomes Subject-specific Knowledge:   have explored, understood and appreciated the complexity and diversity of the current academic literature and its implications for professional practice, and be able to identify open questions for their own research;  have demonstrated ability to learn and work independently in addressing challenging complex issues in international financial asset management.  Subject-specific Skills:   have used highly specialised and advanced technical, professional and academic skills in analysing international financial asset management.  Key Skills:   Written Communication;  Planning, Organising and Time Management;  Problem Solving and Analysis;  Using initiative;  Numeracy;  Computer Literacy.  Group Work.  Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  A combination of lectures (possibly blended delivery), seminars with practical demonstrations, practical work and guided reading will contribute to achieving the aims and learning outcomes of this module.  Summative assessment by  written assignment, which will test students' knowledge and understanding of the subject matter and their ability to apply what they have learned in the analysis of specific issues.  Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  10  1 per week  2 hours  20     Seminars  4  fortnightly  1 hour  4  ■    Preparation & Reading     126             Total     150    Summative Assessment   Component: Assignment  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Assignment  2500 words  100%  Same   Formative Assessment:  Students will receive written comments on a formative written assignments.  Typically over the 10 weeks of the class, two of the seminars will be written up and submitted in small groups, this will be around 2500 words for each formative assignment. ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON40715
ECON546JN,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"Department: Economics and Finance ECON546JN: Financial Management  Type  Tied  Level  4  Credits  15  Availability  Not available in 2021/22    Tied to  N2P109J Management (commencing in January) (suspended for 21/22)      Tied to  N2P209J Management (Finance) (commencing in January) (suspended for 21/22)     Prerequisites  None  Corequisites  None  Excluded Combination of Modules  None  Aims  To provide students with the ability to critically evaluate the information needs of management for control and for decision making;  To provide students with a critical understanding of the context of the use of management accounting information for control and an appreciation of the limitations of the information.  Content  Costs for control and short-term decision making  Budgeting and performance measurement  Cash flow forecasting and working capital management  Long-term corporate decision making and managerial incentives  Investment appraisal and real options  Corporate debt management  Learning Outcomes Subject-specific Knowledge:   Have an advanced knowledge and critical understanding of the information needs of management for control and decision making;  Have a critical appreciation of the context of the use of that information;  Have a critical appreciation of recent academic literature in this area and the implications for current management practice.  Subject-specific Skills:   Be able to use selected tools of financial decision making to see the benefits of informed decision making.  Key Skills:   Written communication; planning, organising and time management; problem solving and analysis; using initiative; computer literacy. Written communication; planning, organising and time management; problem solving and analysis; using initiative; computer literacy. Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  The learning outcomes will be met by a combination of lectures, workshops, case studies and guided reading.  The assessment of the module, by the written examination, is designed to test the acquisition and articulation of knowledge, and the ability to apply and interpret it in specific contexts.  Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  10  1 per week  2 hours  20     Seminars  4  1 per fortnight  1 hour  4  ■    Preparation, Reading, Data Collection and Independent Study     126     Total     150    Summative Assessment   Component: Examination  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Unseen written examination in two sections: multiple-choice and essay-type.  2 hours  100%  Same   Formative Assessment:  Participation in computer based student self-assessment exercises. ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON546JN
ECON54615,https://www.dur.ac.uk/postgraduate.modules/module_search/?year=2021&search_dept=ECON&search_level=-1,"No such Code for pgprog: N1K607 No such Code for pgprog: N1KL07 No such Code for pgprog: N2P509 Department: Economics and Finance ECON54615: Financial Management  Type  Open  Level  4  Credits  15  Availability  Available in 2021/22    Tied to  N1K607       Tied to  N1KL07       Tied to  N2P109 Management      Tied to  N2P209 Management (Finance)      Tied to  N2P309 Management (Entrepreneurship)      Tied to  N2P509       Tied to  N2P609 Management (International Business)      Tied to  N2P909 Management (Supply Chain Logistics)     Prerequisites  None  Corequisites  None  Excluded Combination of Modules  None  Aims  To provide students with the ability to critically evaluate the information needs of management for control and for decision making;  To provide students with a critical understanding of the context of the use of management accounting information for control and an appreciation of the limitations of the information.  Content  Costs for control and short-term decision making  Budgeting and performance measurement  Cash flow forecasting and working capital management  Long-term corporate decision making and managerial incentives  Investment appraisal and real options  Corporate debt management  Learning Outcomes Subject-specific Knowledge:   Have an advanced knowledge and critical understanding of the information needs of management for control and decision making;  Have a critical appreciation of the context of the use of that information;  Have a critical appreciation of recent academic literature in this area and the implications for current management practice.  Subject-specific Skills:   Be able to use selected tools of financial decision making to see the benefits of informed decision making.  Key Skills:   Written communication; planning, organising and time management; problem solving and analysis; using initiative; computer literacy. Written communication; planning, organising and time management; problem solving and analysis; using initiative; computer literacy. Modes of Teaching, Learning and Assessment and how these contribute tothe learning outcomes of the module  The learning outcomes will be met by a combination of lectures, workshops, case studies and guided reading.  The assessment of the module, by the written examination, is designed to test the acquisition and articulation of knowledge, and the ability to apply and interpret it in specific contexts.  Teaching Methods and Learning Hours   Activity  Number  Frequency  Duration  Total/Hours     Lectures  10  1 per week  2 hours  20     Seminars  4  1 per fortnight  1 hour  4  ■    Preparation, Reading, Data Collection and Independent Study     126     Total     150    Summative Assessment   Component: Examination  Component Weighting: 100%    Element  Length / duration  Element Weighting  Resit Opportunity    Unseen written examination in two sections: multiple-choice and essay-type.  2 hours  100%  Same   Formative Assessment:  Participation in computer based student self-assessment exercises. ■  Attendance at all activities marked with this symbol will be monitored. Students who fail to attend these activities, or to complete the summative or formative assessment specified above, will be subject to the procedures defined in the University's General Regulation V, and may be required to leave the University",Department: Economics and Finance,https://www.dur.ac.uk/postgraduate.modules/module_description/?year=2021&module_code=ECON54615
