code,dept,dept_url,desc,name,url
ACCN10027,Accounting,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_accn.htm," The course is designed to offer historical and contemporary insights to issues such as: the problematic organisation of the accountancy profession; the power of accountancy firms; the changing scope of professional work; shifting boundaries with other professions; the accountancy profession in the global economy; exclusion from the profession on the basis of class, gender and race; diversity and equality; threats to accounting professionalism; and challenges to professional ethics.         The aim of the module is to provide final year students in accounting with critical insights to the profession they may enter or are likely to engage with during their careers. The course looks beyond the technical knowledge and skills acquired in earlier accounting courses to focus on the individuals who apply that knowledge and skill as members of professional organisations working in accountancy firms, industry and the public sector. The inclusion of subjects such as ethical decision making adds a vocationally relevant dimension to the module.  Syllabus Introduction to professions and the accounting profession The professionalisation of accounting Recruitment, socialisation and professional identity Gender and the accounting profession Race, ethnicity and the accounting profession Professional work and jurisdictions Accounting firms Professional ethics Commercialisation, globalisation and professionalism Review - Deprofessionalisation or new professionalism  Student Learning Experience The course is based on weekly two-hour sessions which will comprise a combination of lectures and group presentations on assigned topics. Lecture material will be distributed for each session. Students are expected to undertake additional self-study using recommended reading material.        ",The Accounting Profession,http://www.drps.ed.ac.uk/20-21/dpt/cxaccn10027.htm
ACCN10029,Accounting,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_accn.htm,"This course covers the UK tax system and administrative rules along with the relevant revenue, case laws and precedence.  It examines the computation aspects of national insurance, property income, individual and corporate tax liability, value-added and stamp taxes, as well as the ethics and professional conduct of a tax advisor.         The course will utilize a student's knowledge from previous non-Honours accounting courses as a basis to develop and apply new information in the specialist area of taxation.  A particular emphasis of the course will be on an understanding taxation principles and existing tax revenue and legislation, as well as the practical application of taxation knowledge. It is intended to develop students¿ abilities in a core competency, one which is especially relevant to those intending a career in tax practice. The course will prepare students for the taxation examinations of professional accountancy bodies.   SYLLABUS UK Tax System Tax Administration Tax-adjusted Profit/Loss National Insurance Property Income Chargeable Gain/Loss Income Tax Liability Corporation Tax Liability Value-added Tax Stamp Duties Environment Taxes and Reliefs Ethics and Professional Conduct         ",Taxation Practices,http://www.drps.ed.ac.uk/20-21/dpt/cxaccn10029.htm
ACCN10010,Accounting,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_accn.htm,"This course seeks to develop students' ability to examine the forms and behavioural consequences of the implementation of management accounting systems; to develop an appreciation of the benefits and limitations of management accounting systems in organisational contexts; to enhance students' ability to assimilate and communicate management accounting ideas and information, and to promote a critical interpretation of the use of management information, control and performance measurement.         Management Accounting Applications seeks to build on knowledge obtained in the Management Accounting modules of Accountancy 1 and 2. It is intended that the course will form a bridge for students proceeding to the study of management accounting at honours level.  Syllabus Strategic Management Accounting: The Balanced Scorecard Assigning resource costs to production cost centres Social and Environmental Accounting Activity-based management The Roles of Accounting in Organizations and Society Incentive and compensation systems Planning, Budgeting and Control (I) Performance measurement, incentives and governance  Student Learning Experience The course is based on weekly two-hour sessions.         ",Management Accounting Applications,http://www.drps.ed.ac.uk/20-21/dpt/cxaccn10010.htm
ACCN10023,Accounting,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_accn.htm,"The course will allow students to develop an understanding of the conduct of financial statement analysis, the application of theory in financial statement analysis and current and formative issues in financial statement analysis.         The course adopts the view of an investor who not only wants to 'return to fundamentals' but to earn returns from fundamentals. Consequently, the course has both a theoretical and a practical emphasis. On completion of this course students should be able to conduct useful financial analysis and to design a comprehensive equity research report.  Syllabus Foundations of Value Historical Performance Analysis Forecasting Cost of Capital Other Valuation Approaches Value Creation: Mergers and Acquisitions, Divestitures Capital Structure  Student Learning Experience Emphasis is placed on discussing examples and solving exercises in class.        ",Financial Statement Analysis,http://www.drps.ed.ac.uk/20-21/dpt/cxaccn10023.htm
DESI11104,Business Studies,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_bust.htm,"This course offers an introduction to the complexity of data driven society         Through a series of lectures this course provides an introduction to the social, economic and technical characteristics that define a data driven society. The course addresses key historical and contemporary developments across digital media, economic models and the network society and plots the primary themes, initiatives and technologies that have informed the present conditions in which identity, value, decision making and communication are bound to digital technologies and the flow of data. The lecture series will explore the role of data through academic disciplines across the technical, material and social sciences, whilst using case studies across sectors such as healthcare, education, policy and business. Students will also receive intellectual support through a series of seminars and workshops in the first that are intended to provoke creative responses to intractable problems. Involvement in these early workshops will establish the skills sets for the development of a significant piece of individual coursework that responds to the themes within the course.   This course will address the following themes:  1. Mapping the impact of digital and data-driven technology on society and our sense of what it means to be human 2. Data-driven paradigms for governance, decision-making, the digital economy and technological interventions in cognition and selfhood 3. Critical perspectives on data-driven society 4. Decisions that change the world 5. What counts as a good decision 6. The practice and process of decision making 7. Risky decisions 8. Understanding the social knowledge base needed for successful completion of a pathway through the EFI Masters portfolio.         ",Knowledge and Action in the Data Society,http://www.drps.ed.ac.uk/20-21/dpt/cxdesi11104.htm
DESI11105,Business Studies,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_bust.htm,"This course will introduce students to how co-created data value constellations enact social, emotional and cultural as well as economic values, and the implications this has for new business models in the digital economy. The concept of value chains is common to established 20th century business models and can be extended to encompass the flow of data to construct data value chains. However, in the digital economy the complex networks of people, artefacts and bots that feedback data allow for the co-creation of new forms of value. These dynamic relationships can be described not as value chains, but as value constellations. This course will introduce students to how value is co-created in data value constellations and the implications for new business models in the digital economy. Students will be assessed through two studies which demonstrate both their understanding of the subject and their ability to design novel services.         Through a combination of online lectures and workshops, students will be supported toward the understanding of methods and concepts that are associated with the subject. Lectures will establish a basis for understanding core concepts in the co-creation of value, including how value is informed through values, historical models of how value is created toward products and services within value chains, toward the more contemporary concept of value constellations, students will be introduced to methods toward the analysis and mapping of value in data value constellations. The course will reflect upon the emergence of contemporary economic models in the digital economy through case studies, and use workshops to develop student proposals for new models. Students will be supported to map value constellations and in turn develop products and services that co-create value.   This course will:   1. Extend student understanding of historical and contemporary concepts of value creation and the association of values. 2. Develop methods in the mapping of value constellations from existing contexts, that lead to the development of new value constellations to support new products and systems.  3. Develop student skills in the design of new economic models for the digital economy.         ",Data Value Chains to Constellations,http://www.drps.ed.ac.uk/20-21/dpt/cxdesi11105.htm
DESI11094,Common Courses (Management School and Economics),http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_cmse.htm,"As a postgraduate student in the Business School, this course will introduce you to fundamental approaches to designing and design thinking.  The course will review the history and development of design thinking through 4 paradigms, leading to an understanding of designing for experience through 4 orders - visual, material, service and system (Buchanan, 1992; Golsby-Smith, 1996).  This approach is applied and tested in practical work, understanding business models as designable constructions.         The first half of the course introduces you to the theoretical backgrounds underlying applied approaches to design thinking in a lecture and seminar format. A history of research regarding design activity is outlined, through two fundamental paradigms of thinking about design-as-method in the 1960s through to the design-as-knowledge application and expertise through the 1980s (Dorst 2006; Dorst & Dijkhuis 1995). The lectures will then introduce concepts of design-for-experience and interaction design, leading to the fundamental approach to the basic understanding of Design Thinking (Martin, 2009). The lectures conclude with the introduction of designing for complexity, going beyond interactions between users and artefacts towards experience and introduces the 4 orders of design: text/image; objects; services; and systems (Buchanan 1992) and, going forward, pursue the notion that designing is a form of practice involving placement. Throughout, special emphasis is placed upon understanding designing as both an iterative and generative activity, focusing on the fundamental practice of prototyping. The second half of the course provides the opportunity to engage practical, team-based exercises that will engage you to design and develop, through a project of intervention, an alternative model to an existing product, service, process or business model, prototype your developments and your their findings, leading to an individual case study as a final submission interrogating the value of design methods and design thinking in an entrepreneurship and innovation context.         ",Design Thinking,http://www.drps.ed.ac.uk/20-21/dpt/cxdesi11094.htm
CMSE11453,Common Courses (Management School and Economics),http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_cmse.htm,"The aim of the course is to provide the students with the knowledge and skills to work with datasets using SAS programming language. SAS is widely used by in banking for processing and analysing datasets. A brief introduction to Macro Language and basic coding commands is also included in the course.           The course develops computational skills essential to make decisions when working in a bank. The course provides the basic knowledge needed to run programs in a SAS environment, to input and manipulate data, combining and modifying datasets and running statistical procedures using SAS. A basic introduction to coding informatics programs and creating Macro commands will be included.  Outline Content A selection of topics among:  - Introduction, getting started with SAS - Sorting, printing and summarising - Formats and informats - Manage the variables - Help and General syntax - Plotting and graphics - Macro 1 - Macro 2 - Linear regression  Student Learning Experience During the course, the students will be experiencing a real contact with the statistic software SAS. The program is introduced using a mixture of demonstration, self-learning and practice. A mixture of on-site, synchronous and asynchronous Q&A sessions will be used for interactions.   Each lecture will consist on a mini-project of increasing difficulty.         ",Working with Data in SAS,http://www.drps.ed.ac.uk/20-21/dpt/cxcmse11453.htm
ECNM12001,Economics,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_ecnm.htm,"This course is for first year PhD students in economics who do not have its learning outcomes already via their masters. It covers the qualitative research design learning outcomes required by ESRC for receipt of their awards.         This course is for first year PhD students in economics who do not have its learning outcomes already via their masters. It covers the qualitative research design learning outcomes required by ESRC for receipt of their awards. The Learning Outcomes are  1)Different purposes and approaches to interviewing, including with individuals and groups (structured, semi-structured, and in-depth) and modes of questionnaire administration (online, face to face, telephone, postal) 2)Diverse approaches to data collection, such as longitudinal, cross-sectional and experimental research designs, including field experiments 3)Ethnographic and case study research designs including participatory research, methods of observation, and analysis of observational data 4)Combining different methods of data collection and analysis (i.e. mixed-methods research) 5)Thematic (framework) analysis and methods for ethnographic analysis 6)Understanding of the significance of alternative epistemological positions that provide the context for theory construction, research design, and the selection of appropriate analytical techniques 7)Understand the integrated or complementary nature of the relationship between methods in mixed methods research designs.   8)Reflexivity in relation to probability 9)Distinctions in various forms of data, such as documentary, narrative, administrative, digital or ""big"" data  10)understanding of the application of good ethical practice across the entire research process   The course will be based on School of Social and Political Sciences recorded lectures and tutorials offered by SSPS tutors, but the course is owned and administered by the School of Economics.        ",Research Design and Qualitative Methods,http://www.drps.ed.ac.uk/20-21/dpt/cxecnm12001.htm
ECNM11041,Economics,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_ecnm.htm,"This course explores selected topics in economic history.  The specific mix of topics will vary from year to year, but will be drawn from a wide range of eras and subjects: prehistoric and pre-industrial revolution economies; the industrial and financial revolutions of the 17th-19th centuries; the economics of slavery in the US; financial and economic crises of the 20th century; energy policy since 1945; and natural experiments in economic history.         This course explores selected topics in economic history.  The specific mix of topics will vary from year to year, but will be drawn from a wide range of eras and subjects: prehistoric and pre-industrial revolution economies; the industrial and financial revolutions of the 17th-19th centuries; the economics of slavery in the US; financial and economic crises of the 20th century; energy policy since 1945; and natural experiments in economic history.        ",Topics in Economic History,http://www.drps.ed.ac.uk/20-21/dpt/cxecnm11041.htm
CHEE11021,Chemical,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_chee.htm,"The course covers the main separation processes required for carbon capture applications. These include chemical absorption using amine for post-combustion capture, physical absorption for pre-combustion capture, Solid-looping process for post-combustion capture and other advanced separation processes relating to carbon capture. The students will be given formal lectures to introduce them to the overview of various separation processes for carbon capture. The students will then be asked to develop process flowsheets for a carbon capture option and analyse this in detail as part of group project.          Not entered    ",Separation Processes for Carbon Capture 5,http://www.drps.ed.ac.uk/20-21/dpt/cxchee11021.htm
