code,dept,desc,name,page,url
ECON1002, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/ECON1002.css""; Economics 1B ECON1002    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  20    Level:  Level 1 (SCQF level 7)        Typically Offered:  Semester 2      Available to Visiting Students:  Yes        Available to Erasmus Students:  Yes      Short Description This course follows on from Economics 1A in teaching the basic principles of economics.  Its focus is on macroeconomics, and is concerned with levels of output, employment, interest rates and money supply in the national economy as a whole. It will also provide a self-contained component on some basic mathematical tools required to follow the s tandard level 2 theory  sequence  in macroeconomics. Timetable Lectures: Mondays, Tuesdays, Thursdays and Fridays (and occasionally Wednesday) 2.00-3.00pm and repeated at 3.00-4.00pm. Tutorials  and seminars  are held at various times a nd can be selected on MyCampus. Requirements of Entry Students will normally have completed Economics 1A, and should note that progress to Economics level 2 study requires a minimum D3 grade in both Economics 1A and 1B. Assessment A  1-hour In-course examination (20%) and 2-hour degree examination (80%). The  in-course exam  assesses the Macroeconomics component of the course.  80% of the degree exam assesses the Macroeconomics component a nd 20% assesses the Mathematical Economics  1  ( ME1 ) component.      ILO Assessment Weighting Word length/duration 1-5 In-course examination 20% 1 hour 1-8 Degree examination 80% 2 hours Note: the 3-hr exam is the sum of the in-course exam (1hr) and the degree exam (2hr). Main Assessment In:  April/May Course Aims  The general aims of this course are to: 1.  provide an overall introduction to the working of  the economy as a whole, and the purposes and methods of government activity in a ""mixed"" economy; 2.  provide a foundation for further study of economics at Level 2; 3.  to build familiarity with some basic mathematical tools serving as a stepping stone to the mor e sophisticated tools required at Level 2; 4.  encourage the student to take responsibility for their own learning (self-directed learning), and to acquire skills relevant to a wide range of situations beyond this course: how to think analytically, to express  themselves clearly and directly, and to employ information technology. Intended Learning Outcomes of Course By the end of this course, students should be able to: 1.  outline a model of how aggregate output and the price level are determined; 2.  use this model to analyse the impact of various exogenous shocks on the macro economy and the  possible role of macroeconomic policy in confronting these, as well as to assess how monetary and fiscal policies can be used by governments in order to influence the macro economy; 3.  compare alternative exchange rate regimes and explain why the authorities  need to take the exchange rate or balance of payments into account in policy design; 4.  deploy techniques of economic analysis within a problem solving context; 5.  demonstrate an ability to construct a focused argument based on coherent general principles; 6.  demon strate skills based on data interpretation and numeracy; 7.  explain economic issues, problems and solutions to non-economists; 8.  demonstrate the routine mathematical skills necessary in most economic applications, and to help develop a firm understanding of som e very basic mathematical principles. Minimum Requirement for Award of Credits None",Economics 1B ECON1002,,https://www.gla.ac.uk/coursecatalogue/course/?code=ECON1002
ECON1001, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/ECON1001.css""; Economics 1A ECON1001    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  20    Level:  Level 1 (SCQF level 7)        Typically Offered:  Semester 1      Available to Visiting Students:  Yes        Available to Erasmus Students:  Yes      Short Description Economics 1A, together with Economics 1B, teaches the basic principles of economics.  Economics 1A focuses on the fundamental principles and microeconomics, i.e.  the role of the market mechanism for resource allocation followed by considerations of its limitations. Some optional mathematical content is delivered as part of this course for students who have not studied Maths to Higher/ A Level or equivalent (typically 5-6 years of secondary education), which is important for students intending to pursue the subject at level 2. Timetable Lectures: Mondays, Tuesdays, Thursdays (and occasionally Wednesday) 2.00-3.00pm and repeated at 3.00-4.00pm. Tutorials are held at various times a nd can be selected on MyCampus. The course also includes 6 hours of lectures and 3 seminars on Introductory Mathematical Economics (IME).  Th is component is optional and will be particularly important for  students who have not studied Mathematics to Higher, A Level or equivalent.  Following enrolment, s tudents will be able to take a short test w hich will help them to decide whether or not to attend classes for this component. Requirements of Entry None Assessment 1-hour  In-course   examination  (25%) and 2-hour degree examination (75%).  The In-course examination  assesses the Microeconomics component of the course.  The  Introductory Mathematical Economics (IME) component  is optional in Economics 1A and is not formally assessed .      ILO Assessment Weighting Word length/duration 1- 5 In-course examination 25% 1 hour Main Assessment In:  December Course Aims The general aims of this course are to: ■  provide an overall introduction to economics as being principally concerned with dealing with the problems of the allocation of scarce resources and insights into how the concept of 'opportunity cost'  is reflected in  economist's view  of  the world ; ■  to enhance the understanding of the econ omic aspects of current affairs ;    ■  provide a foundation for further study of economics; ■  encourage you to take responsibility for your own learning (self-directed learning), and to acquire skills relevant to a wide range of situations beyond this course: how to think analytically, to express yourself clearly and directly. Intended Learning Outcomes of Course By the end of this course, students should be able to: 1.  analyse and explain opportunity cost and how the market mechanism allocates scarce resources   i.e. supply and demand analysis;   2.  explain consumer behaviour utilising the framework of budget lines and indifference curves; 3.  deploy graphical techniques  and basic algebra  to illustrate  analyse and explain economic phenomena e.g. the  interpret ation of the   different market conditions under which companies decide upon their optimal pricing and output decisions;  4.  explain the role and function of the main factor markets; 5.  explain the various forms of market failure and the role and rationale for government intervention and its impacts; 6.  demonstrate an ability to construct a focused argument based on coherent general economic principles that address contemporary microeconomic issues; 7.  demonstrate skills based on data interpretation and numeracy; 8.  explain economic issues, problems and solutions to non-economists. Minimum Requirement for Award of Credits None",Economics 1A ECON1001,,https://www.gla.ac.uk/coursecatalogue/course/?code=ECON1001
MGT1025, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/MGT1025.css""; Current Topics in Marketing MGT1025    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  5    Level:  Level 1 (SCQF level 7)        Typically Offered:  Semester 1      Available to Visiting Students:  No        Available to Erasmus Students:  No      Short Description The Chartered Institute of Marketing requires a 15 credit ""Introduction to Marketing"" course for its  accreditation. The current L1 Marketing course is worth 10 credits. This 5-credit course will allow students to complete a total of 15 credits of introductory marketing learning. The course aims to introduce some current  and contemporary  concepts of market ing Timetable The course will be delivered over the course of one day during week 0. Requirements of Entry This course is available to Junior and Senior Honours Business and Management students. Excluded Courses None Co-requisites None Assessment Intended Learning Outcomes Assessment Weighting Word Length/  Duration Main Assessment In:  December Course Aims The course aims to introduce  current  concepts of marketing.  The aim is to enhance the development of analytical skills by making clear connections between theory and management practice using contemporary examples and applications. Intended Learning Outcomes of Course By the end of this course students will be able to: (1)  Illustrate  the relevance of marketing conc ept to the success of an organis ation (2)  Explain the new concepts that are introduced  ( 3 )  Recognise   that marketing, as a s ubject, evolves over time (4) Identify reasons that the marketing thinking evolves (5) Summarise the key dimensions of the presented new concepts Minimum Requirement for Award of Credits Students must submit at least 75% by weight of  the components (including examinations) of the course's summative assessment.",Current Topics in Marketing MGT1025,,https://www.gla.ac.uk/coursecatalogue/course/?code=MGT1025
MGT1003, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/MGT1003.css""; Entrepreneurship: New Venture Creation MGT1003    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  20    Level:  Level 1 (SCQF level 7)        Typically Offered:  Semester 2      Available to Visiting Students:  Yes        Available to Erasmus Students:  Yes      Short Description This course introduces the theory and practice of entrepreneurship, focusing on how to identify, evaluate and exp loit opportunities to create value in new and existing firms. A  blended-learning and interactive  environment allows students to practically engage in the new venture creation process around their ideas. Timetable 11 x 2- hour  weekly workshop Please refer to MyCampus for timetable. Requirements of Entry None. Excluded Courses MGT1003 - En trepreneurship 1A: Corporate Entrepreneurship MGT1004 - Entrepreneurship 1B: New Venture Planning Assessment ILO being assessed Assessment Weighting Word length/duration 2 and 4  Multiple choice quiz . 20% Approx. 1 hour . 1, 3, and 6 Group presentation 30% 15-minute presentation . Course Aims Taking a blended-learning approa ch, t h e   aim of this course is to  introduce  (predominantly) non-business students to   the core concepts of entrepreneurship. In particular, the course will combine entrepreneurship theory and practice to illustrate the role of entrepreneurs in value creation . The course also provides students with practical experience in designing and analysing a new venture, enabling them to develop skills in research, analysis, communication, planning and collaboration, as well as the opportunity to reflect on how entrepren eurship aligns with their goals Intended Learning Outcomes of Course By the end of this course, students will be able to:   1.  Design a new venture and analyse the process. 2.  Compare the stages of opportunity identification, evaluation and exploitation. 3.  Identify and apply tools to support opportunity identification, evaluation and exploitation. 4.  Evaluate the role of entrepreneurs in  value creation in new ventures and existing firms. 5.  Identify how entrepreneurship aligns with their goals. 6.  As part of a group, cr itically reflect upon and apply  the concepts and tools associated with starting a new venture. Minimum Requirement for Award of Credits Students must submit at least 75% by weight of the components (including examinations) of the course's summative assessment.",Entrepreneurship: New Venture Creation MGT1003,,https://www.gla.ac.uk/coursecatalogue/course/?code=MGT1003
ACCFIN4007, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/ACCFIN4007.css""; Advanced Financial Accounting ACCFIN4007    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  20    Level:  Level 4 (SCQF level 10)        Typically Offered:  Semester 1      Available to Visiting Students:  Yes        Available to Erasmus Students:  Yes      Short Description T his course  covers  financial accounting practice for a selection of  current and complex topics. Both the accounting practice is explained and the implication of the relevant accounting standard   is  critically  appraised , with a view to  developing  thorough knowledge and critical understanding of applicable accounting principles, concepts,  and  regulations. Timetable Lectures: 10 x 2-hour lecture (one a week for ten weeks) Lecture/Seminar: 1 x 1-hour lecture  Tutorials:  9  x 1 -hour tutorial (tutorials are held at various times and can be selected on MyCampus) Requirements of Entry Normally a grade D3 or above in Financial Accounting 2 or suitable equivalent. Excluded Courses ACCFIN4007 -  Advanced Financial Accounting Practice (superseded) Assessment ILO Main Assessment In:  December Are reassessment opportunities available for all summative assessments?  Not applicable Reassessments are normally available for all courses, except those which contribute to the Honours classification. For non  H onours courses, students are offered reassessment in all or any of the components of assessment if the satisfactory (threshold) grade for the overall course is not achieved at the first attempt. This is normally grade D3 for undergraduate students and grade C3 for postgraduate students. Exceptionally it may not be possible to offer reassessment of some coursework items, in which case the mark achieved at the first attempt will be counted towards the final course grade. Any such exceptions for this course are described below.   Course Aims This course builds upon Financial Accounting 2. It aims to critically examine current financial accounting  theory and  practice for a selection of advanced topics, many of which are subject to current debate and review by the International Accounting Standards Board (IASB) and the Financial Accounting Standards Board (FASB) in the US. The course seeks to develop a thorough knowledge and understanding of the accounting principles, concepts, regulations and practices, applicable to selected topics. An important aim of the course is to develop skills of critical analysis through the study of relevant research papers on financial accounting topics. Intended Learning Outcomes of Course By the end of this course students  should  be able to:   1. Explain the financial reporting requirements for a range of current accounting issues. 2. Solve relatively complex problems of financial accounting practice, by the selection and application of appropriate accounting principles, concepts, and practices. 3. Interpret financial statement information identifying critical issues, numbers and underlying assumptions. 4. Critically evaluate the ongoing debates and differences of opinion in relation to current accounting practices. 5. Work effectively in a team-working environment, demonstrate effective communication and an ability to contribute effectively to group project work. Minimum Requirement for Award of Credits None  ",Advanced Financial Accounting ACCFIN4007,,https://www.gla.ac.uk/coursecatalogue/course/?code=ACCFIN4007
ACCFIN4001P, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/ACCFIN4001P.css""; Accountancy Dissertation ACCFIN4001P    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  40    Level:  Level 4 (SCQF level 10)        Typically Offered:  Runs Throughout Semesters 1 and 2      Available to Visiting Students:  No        Available to Erasmus Students:  No      Short Description The dissertation is an independent  piece of  work ( compulsory for all Honours students ), which is  designed to assess the student's ability to complete a major and worthwhile piece of research, with some guidance, but largely self-motivated and with a minimum of supervision. The accounting dissertation course requires students to attend a series of lectures that aim to familiarise  them  with the interrelated stages of the research process (from theory building to theory testing), with a range of methods utilise in social sciences research, and with real-life examples of research in  the different areas of the accounting & finance literature, which the students can  use  for  their own dissertation. Timetable Six  ( 6 ) two-hour lectures over a  three -week period at the beginning of Semester 1 of Year 4, the majority of which are devoted to the discussion of the main features of a seminal method in accounting and finance research, and the evaluation of their relative strengths and weaknesses; as well as  minimum  five (5)  individual supervision meetings totalling to four (4) contact hours. In addition, an introductory group meeting can potentially be arranged in the beginning of the supervision process.   Requirements of Entry There are no prerequisites but the appropriate degree's regulations on progress apply. Excluded Courses N/A Co-requisites N/A Assessment The course is assessed  as a whole  on the basis  of a  dissertation of 8000-10000 words (100%).   ILO Assessment Weighting Word Length/Duration Main Assessment In:  April/May Are reassessment opportunities available for all summative assessments?  Not applicable Reassessments are normally available for all courses, except those which contribute to the Honours classification. For non  H onours courses, students are offered reassessment in all or any of the components of assessment if the satisfactory (threshold) grade for the overall course is not achieved at the first attempt. This is normally grade D3 for undergraduate students and grade C3 for postgraduate students. Exceptionally it may not be possible to offer reassessment of some coursework items, in which case the mark achieved at the first attempt will be counted towards the final course grade. Any such exceptions for this course are described below.   Course Aims The aim of this course of study is for the student to learn to complete a substantial piece of independent work on a research topic of the student's own choice within the disciplines (broadly defined) of accounting or finance, and to present that work in a way that demonstrates a critical understanding of the literature of the field, and the ability to select and apply appropriate theories, methods and methodologies in the conduct of the underling research. Intended Learning Outcomes of Course By the end of this course students will be able to:   1.  Demonstrate a critical understanding of issues in Accounting and Finance  in the chosen area of interest ; 2.  Draw upon relevant principles, perspectives and theories to inform their selections of method and research design; 3.  C ritically evaluate the strengths and weaknesses of the selected research  methodology  as it has been applied in the specific research project;   4.  Construct and present well-reasoned arguments to support the decisions made within the research process and the findings and conclusions of the dissertation. 5.  R eport the findings produced by this research project and  display the ability to reflect on the project findings and  their implications for  theory,  practice and future research. Minimum Requirement for Award of Credits Submission of a research proposal (around 2000 words) is compulsory for the award of credit in the course.",Accountancy Dissertation ACCFIN4001P,,https://www.gla.ac.uk/coursecatalogue/course/?code=ACCFIN4001P
MGT3003, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/MGT3003.css""; Project Management MGT3003    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  20    Level:  Level 3 (SCQF level 9)        Typically Offered:  Semester 2      Available to Visiting Students:  No        Available to Erasmus Students:  No      Short Description The aim of this course is to introduce studen ts to the theory and practice of  project management. Timetable Lectures:  Fridays 10.00-12.00 noon   ( 2hrs x 10 weeks ) Please refer to MyCampus for timetable Requirements of Entry A minimum grade of D3 or above in  ALL four Management level 2 Courses: • MGT2010 Business Decision Analysis • MGT2011 Fundamentals of Human Resource Management • MGT2012 Services and Operations Management • MGT2014 Entrepreneurship Excluded Courses MGT4017 (Honours Project Management) Co-requisites Business Competition MGT3023 Marketing Campaign Development Research and Tactics MGT3024 Assessment individual assignments x 2 50% of total course mark for each assignment   Intended Learning Outcomes Assessment Weighting Word Length/ Duration 1- 5 Individual  Case Study  Assignment 5 0.00% 1,75 0-words Course Aims The aims are to introduce the theory  and practice of project management  by : ■  Providing a comprehensive overview of the  role of projects within organis ations. ■  Providing a comprehensive review of the methods useful for managing projects and their usefulness. ■  Identifying the broader effects of  project management for organi s ations on their people, operations, finances and markets. Intended Learning Outcomes of Course By the end of the course students will be able to:   1.  Describe the stages of the project lifecycle and the different tools and techniques that are used in each stage 2.  Review project plans and describe the relationships between timing, cost and risk 3.  Examine the project management process and how this is applied in the  workplace 4.  Interpret   behavioural change management models and demonstrate an ability to apply them in a project context. 5.  Discuss the importance of effective communication and implement effective communication methods in a project setting. Minimum Requirement for Award of Credits Students must submit at least 75% by weight of the components (including examinations) of the course's summative assessment.",Project Management MGT3003,,https://www.gla.ac.uk/coursecatalogue/course/?code=MGT3003
MGT3024, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/MGT3024.css""; Marketing Campaign Development: Research and Tactics MGT3024    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  20    Level:  Level 3 (SCQF level 9)        Typically Offered:  Semester 1      Available to Visiting Students:  No        Available to Erasmus Students:  No      Short Description The course challenges students to ap ply marketing communications theory to the development of a marketing campaign, with a special focus on the digital environment. The course provides students with the opportunity to acquire advanced knowledge about core and emerging topics in marketing com munications based on readings from both textbooks and journal articles, but there is a strong emphasis on experiential learning, as demonstrated by the  assessment  format which is 100% portfolio work. Timetable Lectures:  Mondays 1.00-3.00pm  ( 2hrs x 10 weeks ) Tutorials:  2hrs x  4  weeks Tutorials are held at various times and can be selected on MyCampus   Requirements of Entry A minimum grade of D3 or above in  ALL four Management level 2 Courses: • MGT2010 Business Decision Analysis • MGT2011 Fundamentals of Human Resource Management • MGT2012 Services and Operations Management • MG T2014 Entrepreneurship Excluded Courses None Co-requisites Project Management MGT3003 Business Competition MGT3023 Assessment The summative assessment comprises  one individual  project portfolio  ( 80 %) and one group presentation (20%) . The tutorials and lectures are designed to guide students through the principles and techniques of conducting research on the behaviour of consumers that will feed to the choices for a marketing co mmunication campaign with a digital marketing component.     They will be expected to develop  one  group PowerPoint presentation  that summarises  each of the main themes of the course (i.e., marketing research, consumer behaviour and the customer journey, mar keting communication brief, marketing communication tactics).  This  Power Point pres entation is weighted at 20% and should be presented in class.    Each individual student creates a portfolio. The portfolio should comprise two main components: (i) the slide s developed for the group presentation; (ii) an individually produced reflective narrative  that  focuses on explaining, justifying and contextualising the marketing decisions taken by the group in the development of the marketi ng campaign. The word limit is 4 000 words (PowerPoints not included in the word count).   Intended Learning Outcomes Assessment Weighting Word Length/ Duration 1,3,7 ,8 Marketing research 20 % 100 0 2,3,7 ,8 Consumer Behaviour 20 % 100 0 4,7 ,8 Marketing Communications Brief 20 % 100 0 5,6,7 ,8 Marketing Communications Tactics  20 % 100 0 Course Aims The course aims to enhance the development and application of analytical skills to the  preparation  of a marketing campaign concept by making clear connections between theory and marketing practice .   The course will also  provide a set of practical tools to  develop a marketing communication campaign. Intended Learning Outcomes of Course By the end of this course students will be able to: 1.  Suggest appropriate data collection methods  to analyse the marketing environment 2.  Analyse the behaviour of consumers 3.  Illustrate the role of situation analysis in marketing communication decisions 4.  Set objectives for communications programmes 5.  Develop a marketing communications programme that utilises a ppropriate tools, including online tools 6.  Critically assess and choose marketing communication channels 7.  Explain the customer journey from receiving information to making decisions and be able to map customer journeys in practice. 8.  Develop oral presentation a nd group working skills. Minimum Requirement for Award of Credits Students must submit at least 75% by weight  of the components (including examinations) of the course's summative assessment.",Marketing Campaign Development: Research and Tactics MGT3024,,https://www.gla.ac.uk/coursecatalogue/course/?code=MGT3024
ECON3022, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/ECON3022.css""; Economics 3: Economic Policies and Growth ECON3022    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  30    Level:  Level 3 (SCQF level 9)        Typically Offered:  Semester 2      Available to Visiting Students:  No        Available to Erasmus Students:  No      Short Description This course will analyse  business cycles, economic growth and  stabilising  economic policies ( eg : increasing employment, stabilising the value of money) .  S tudents will learn about fiscal and monetary policy as well as income and market policies.  Furthermore, the course will involve some data analysis to measure business cycles and economic growth . Timetable Lectures: 10 x 2 hours with a 2-hour lecture per week Seminars: 10 x 1 hour Data analysis workshop 1 x 2 hours Revision = 1 Hour Requirements of Entry Normally a grade D or above in  ECON2001  Economics 2A and  ECON2002 Economics  2B. Excluded Courses None Co-requisites ECON3023  Economics 3: Topics in Economics Assessment ILO (covered) Main Assessment In:  April/May Course Aims The  general aims of this  course  are: ■  t o give students a th o rough knowledge  of  economic growth  and  business cycles  through economic models and data analysis;  ■  to equip students with the  skills to analyse  forms of governmental policies such as fiscal policy, monetary policy as well as income and market policy to  influence  economic growth  and  business cycles ; ■  to analyse  strategies for combating recessions and  stabilise the economy . Intended Learning Outcomes of Course By the end of this course students will be able to: 1.  reproduce a detailed knowledge of different forms of business cycles as well as their phases using economic models;  2.  explain various  reasons for economic gro wth and employment fluctuations; 3.  illustrate  a critical understanding of policies  and their effective use ; 4.  effectively  write  to impart information to specialists as well as non-specialists ; 5.  analyse  and cle arly present macroeconomic data, including u sing spreadsheet packages such E xcel. Minimum Requirement for Award of Credits Students must submit at least 75% by weight of the components (including examinations) of the course's summative assessment.",Economics 3: Economic Policies and Growth ECON3022,,https://www.gla.ac.uk/coursecatalogue/course/?code=ECON3022
ECON3023, Adam Smith Business School,"Please note: there may be some adjustments to the teaching arrangements published in the course catalogue for 2020-21. Given current circumstances related to the Covid-19 pandemic it is anticipated that some usual arrangements for teaching on campus will be modified to ensure the safety and wellbeing of students and staff on campus; further adjustments may also be necessary, or beneficial, during the course of the academic year as national requirements relating to management of the pandemic are revised. View Specification Document  |  Reading List @import ""https://www.gla.ac.uk/xt4/coursecatalogue/files/live/2020/ECON3023.css""; Economics 3: Contemporary Topics in Economics ECON3023    Academic Session:  2020-21    School:  Adam Smith Business School    Credits:  30    Level:  Level 3 (SCQF level 9)        Typically Offered:  Semester 1      Available to Visiting Students:  No        Available to Erasmus Students:  No      Short Description This course will  analyse  economic topics  of current interest  using academic literature and other reliable resources .  N ew policies and economic thought  would be  examined .  Potential topics include  international trade, trade conflicts,  gend er pay gap  and  immigration .  Students will develop skills in team working, design and delivery of presentations and the use of academic literature and other appropriate information sources"" Timetable Lecture: 1 0  x 2 hours  = 20 hours Seminars:10 x 1 hour  = 10 hours Student presentations and discussions :   4  hours Revision: 1 x 1 hour outwith normal teaching hours Requirements of Entry Normally a grade D or above in  ECON2001  Economics 2A and  ECON2002 Economics  2B. Excluded Courses ECON4099 Contemporary Issues in Economics . Co-requisites ECON3022 Economics 3: Economic Policies and Growth Assessment ILO Main Assessment In:  December Course Aims The  course a ims to:  ■  develop  students '  knowledge  of current economic issues  such as the  international trade and conflict,  gender pay gap, international immigration and its effect on the labour market, trade conflicts such as dumping and tariffs as well as exchange rate fluctuations  using appropriate economic literature ; ■  develop analytical skills using appropriate economic models; ■  provide opportunities for students to build graduate attributes suc h as team work and presentation. Intended Learning Outcomes of Course By the end of this course students will be able to: 1.  construct economic arguments and  identify  appropriate economic models to analyse various contemporary economic issues;   2.  appropriate use of mathematical tools and economic models to analyse  various contemporary economic issues 3.  search and effectively review academic literature and reliable sources of information ;   4.  c ommunicat e clearly  using effective writing, organisation and presentation to impart information to specialists as well as non-specialists about economic analys es and findings; 5.  work effectively in teams; 6.  use  oral and visual communication  to relay  information to specialists as well as non-specialists effectively. Minimum Requirement for Award of Credits Students must submit at least 75% by weight of the components (including examinations) of the course's summative assessment.",Economics 3: Contemporary Topics in Economics ECON3023,,https://www.gla.ac.uk/coursecatalogue/course/?code=ECON3023
